Entity,Code,Year,Renewables (% equivalent primary energy)
Algeria,DZA,1992,0.18375748
Algeria,DZA,1993,0.35028014
Algeria,DZA,1994,0.16257899
Algeria,DZA,1995,0.18224756
Algeria,DZA,1996,0.1288034
Algeria,DZA,1997,0.074455895
Algeria,DZA,1998,0.20617963
Algeria,DZA,1999,0.1927434
Algeria,DZA,2000,0.053235486
Algeria,DZA,2001,0.065218486
Algeria,DZA,2002,0.05167676
Algeria,DZA,2003,0.228104
Algeria,DZA,2004,0.2067869
Algeria,DZA,2005,0.43411884
Algeria,DZA,2006,0.16327195
Algeria,DZA,2007,0.15990457
Algeria,DZA,2008,0.1877543
Algeria,DZA,2009,0.21278548
Algeria,DZA,2010,0.11513415
Algeria,DZA,2011,0.23525994
Algeria,DZA,2012,0.22453195
Algeria,DZA,2013,0.06476319
Algeria,DZA,2014,0.11750259
Algeria,DZA,2015,0.09681336
Algeria,DZA,2016,0.14580713
Algeria,DZA,2017,0.24701828
Algeria,DZA,2018,0.28842947
Algeria,DZA,2019,0.29497427
Algeria,DZA,2020,0.30043116
Algeria,DZA,2021,0.25449628
Algeria,DZA,2022,0.2927589
Argentina,ARG,1965,1.1026944
Argentina,ARG,1966,1.0818663
Argentina,ARG,1967,1.0765308
Argentina,ARG,1968,1.2272897
Argentina,ARG,1969,1.0651326
Argentina,ARG,1970,1.3533598
Argentina,ARG,1971,1.2702763
Argentina,ARG,1972,1.2349532
Argentina,ARG,1973,2.2839267
Argentina,ARG,1974,3.629566
Argentina,ARG,1975,3.8664374
Argentina,ARG,1976,3.5540857
Argentina,ARG,1977,3.9090023
Argentina,ARG,1978,5.227204
Argentina,ARG,1979,6.702873
Argentina,ARG,1980,9.552048
Argentina,ARG,1981,9.542367
Argentina,ARG,1982,11.229478
Argentina,ARG,1983,11.313745
Argentina,ARG,1984,12.136334
Argentina,ARG,1985,12.759911
Argentina,ARG,1986,12.297877
Argentina,ARG,1987,12.24687
Argentina,ARG,1988,8.416951
Argentina,ARG,1989,7.543206
Argentina,ARG,1990,10.29241
Argentina,ARG,1991,9.080978
Argentina,ARG,1992,10.2065
Argentina,ARG,1993,12.215968
Argentina,ARG,1994,13.306112
Argentina,ARG,1995,12.535252
Argentina,ARG,1996,10.224623
Argentina,ARG,1997,12.513889
Argentina,ARG,1998,11.481932
Argentina,ARG,1999,9.2246065
Argentina,ARG,2000,12.283152
Argentina,ARG,2001,15.93624
Argentina,ARG,2002,16.247978
Argentina,ARG,2003,14.40661
Argentina,ARG,2004,12.185576
Argentina,ARG,2005,12.790038
Argentina,ARG,2006,13.449896
Argentina,ARG,2007,10.613073
Argentina,ARG,2008,10.447249
Argentina,ARG,2009,11.797741
Argentina,ARG,2010,11.650168
Argentina,ARG,2011,10.914268
Argentina,ARG,2012,10.176803
Argentina,ARG,2013,10.940409
Argentina,ARG,2014,11.038969
Argentina,ARG,2015,10.89336
Argentina,ARG,2016,10.17179
Argentina,ARG,2017,10.979133
Argentina,ARG,2018,11.331651
Argentina,ARG,2019,11.911147
Argentina,ARG,2020,12.310069
Argentina,ARG,2021,11.250522
Argentina,ARG,2022,12.81501
Asia,,1965,7.897043
Asia,,1966,7.5901756
Asia,,1967,6.7739277
Asia,,1968,6.975909
Asia,,1969,6.3710027
Asia,,1970,5.7638383
Asia,,1971,5.7417383
Asia,,1972,5.588214
Asia,,1973,4.796797
Asia,,1974,5.3396454
Asia,,1975,5.5505695
Asia,,1976,5.3948956
Asia,,1977,4.9730463
Asia,,1978,4.89683
Asia,,1979,5.028547
Asia,,1980,5.4007115
Asia,,1981,5.7069726
Asia,,1982,5.7117558
Asia,,1983,5.695761
Asia,,1984,5.315992
Asia,,1985,5.351944
Asia,,1986,5.187796
Asia,,1987,5.080285
Asia,,1988,5.4386826
Asia,,1989,5.325835
Asia,,1990,5.3332186
Asia,,1991,5.191427
Asia,,1992,5.0087595
Asia,,1993,5.3177643
Asia,,1994,5.0574775
Asia,,1995,5.262231
Asia,,1996,5.0113516
Asia,,1997,4.8859487
Asia,,1998,5.173664
Asia,,1999,4.921889
Asia,,2000,4.9022293
Asia,,2001,5.0720773
Asia,,2002,5.0038915
Asia,,2003,4.8089495
Asia,,2004,5.1195283
Asia,,2005,4.9466696
Asia,,2006,5.1445403
Asia,,2007,5.1095996
Asia,,2008,5.628602
Asia,,2009,5.4842396
Asia,,2010,5.974635
Asia,,2011,5.8979692
Asia,,2012,6.493125
Asia,,2013,7.000718
Asia,,2014,7.5659223
Asia,,2015,7.9179235
Asia,,2016,8.415236
Asia,,2017,8.881613
Asia,,2018,9.383873
Asia,,2019,10.027869
Asia,,2020,10.78211
Asia,,2021,11.258453
Asia,,2022,12.03901
Asia Pacific (EI),,1965,8.906461
Asia Pacific (EI),,1966,8.529046
Asia Pacific (EI),,1967,7.66612
Asia Pacific (EI),,1968,7.8297095
Asia Pacific (EI),,1969,7.1342564
Asia Pacific (EI),,1970,6.51399
Asia Pacific (EI),,1971,6.5559907
Asia Pacific (EI),,1972,6.363229
Asia Pacific (EI),,1973,5.5802794
Asia Pacific (EI),,1974,6.154487
Asia Pacific (EI),,1975,6.328346
Asia Pacific (EI),,1976,6.0545506
Asia Pacific (EI),,1977,5.5735383
Asia Pacific (EI),,1978,5.4501457
Asia Pacific (EI),,1979,5.6590157
Asia Pacific (EI),,1980,6.012639
Asia Pacific (EI),,1981,6.3572416
Asia Pacific (EI),,1982,6.3478613
Asia Pacific (EI),,1983,6.465451
Asia Pacific (EI),,1984,6.071859
Asia Pacific (EI),,1985,6.183703
Asia Pacific (EI),,1986,6.097176
Asia Pacific (EI),,1987,5.757196
Asia Pacific (EI),,1988,5.9301677
Asia Pacific (EI),,1989,6.0402846
Asia Pacific (EI),,1990,5.901523
Asia Pacific (EI),,1991,5.8011227
Asia Pacific (EI),,1992,5.436806
Asia Pacific (EI),,1993,5.6325393
Asia Pacific (EI),,1994,5.4214945
Asia Pacific (EI),,1995,5.650538
Asia Pacific (EI),,1996,5.29472
Asia Pacific (EI),,1997,5.2021685
Asia Pacific (EI),,1998,5.552411
Asia Pacific (EI),,1999,5.3340397
Asia Pacific (EI),,2000,5.3779483
Asia Pacific (EI),,2001,5.6333823
Asia Pacific (EI),,2002,5.4669867
Asia Pacific (EI),,2003,5.179283
Asia Pacific (EI),,2004,5.4987383
Asia Pacific (EI),,2005,5.343748
Asia Pacific (EI),,2006,5.5598783
Asia Pacific (EI),,2007,5.587044
Asia Pacific (EI),,2008,6.347811
Asia Pacific (EI),,2009,6.18546
Asia Pacific (EI),,2010,6.6559954
Asia Pacific (EI),,2011,6.6238837
Asia Pacific (EI),,2012,7.2929463
Asia Pacific (EI),,2013,7.887267
Asia Pacific (EI),,2014,8.66869
Asia Pacific (EI),,2015,9.000397
Asia Pacific (EI),,2016,9.594515
Asia Pacific (EI),,2017,10.124971
Asia Pacific (EI),,2018,10.703524
Asia Pacific (EI),,2019,11.202264
Asia Pacific (EI),,2020,12.137218
Asia Pacific (EI),,2021,12.8053055
Asia Pacific (EI),,2022,13.75428
Australia,AUS,1965,5.5626216
Australia,AUS,1966,5.0718946
Australia,AUS,1967,4.9495487
Australia,AUS,1968,4.8654675
Australia,AUS,1969,5.086988
Australia,AUS,1970,5.421451
Australia,AUS,1971,5.8227277
Australia,AUS,1972,5.599285
Australia,AUS,1973,5.588665
Australia,AUS,1974,5.95511
Australia,AUS,1975,6.2970085
Australia,AUS,1976,5.7934213
Australia,AUS,1977,5.2697754
Australia,AUS,1978,5.508697
Australia,AUS,1979,5.1658406
Australia,AUS,1980,4.862272
Australia,AUS,1981,4.930354
Australia,AUS,1982,4.6367826
Australia,AUS,1983,4.534481
Australia,AUS,1984,4.7184544
Australia,AUS,1985,4.863155
Australia,AUS,1986,4.7985597
Australia,AUS,1987,4.532893
Australia,AUS,1988,4.64168
Australia,AUS,1989,4.4199533
Australia,AUS,1990,4.4593916
Australia,AUS,1991,4.740063
Australia,AUS,1992,4.731717
Australia,AUS,1993,4.7594285
Australia,AUS,1994,4.527182
Australia,AUS,1995,4.239725
Australia,AUS,1996,4.236591
Australia,AUS,1997,4.14584
Australia,AUS,1998,4.037756
Australia,AUS,1999,4.008933
Australia,AUS,2000,3.9888778
Australia,AUS,2001,3.870762
Australia,AUS,2002,3.9314501
Australia,AUS,2003,4.0149684
Australia,AUS,2004,4.03656
Australia,AUS,2005,4.313553
Australia,AUS,2006,4.233413
Australia,AUS,2007,3.9767237
Australia,AUS,2008,3.681326
Australia,AUS,2009,3.9202657
Australia,AUS,2010,4.312805
Australia,AUS,2011,5.688442
Australia,AUS,2012,5.688193
Australia,AUS,2013,6.5121694
Australia,AUS,2014,5.9665823
Australia,AUS,2015,6.2821994
Australia,AUS,2016,7.1855173
Australia,AUS,2017,6.7429633
Australia,AUS,2018,8.278479
Australia,AUS,2019,8.873599
Australia,AUS,2020,10.834546
Australia,AUS,2021,12.895153
Australia,AUS,2022,14.454731
Austria,AUT,1965,25.096405
Austria,AUT,1966,25.840193
Austria,AUT,1967,26.118929
Austria,AUT,1968,25.099167
Austria,AUT,1969,22.27537
Austria,AUT,1970,24.770256
Austria,AUT,1971,19.6523
Austria,AUT,1972,19.524149
Austria,AUT,1973,20.17739
Austria,AUT,1974,23.734526
Austria,AUT,1975,25.034246
Austria,AUT,1976,20.905321
Austria,AUT,1977,25.271303
Austria,AUT,1978,24.244625
Austria,AUT,1979,25.784454
Austria,AUT,1980,26.826015
Austria,AUT,1981,29.280653
Austria,AUT,1982,30.31977
Austria,AUT,1983,30.117786
Austria,AUT,1984,26.68983
Austria,AUT,1985,29.769283
Austria,AUT,1986,30.177652
Austria,AUT,1987,32.193813
Austria,AUT,1988,32.733353
Austria,AUT,1989,32.40866
Austria,AUT,1990,28.908712
Austria,AUT,1991,27.587229
Austria,AUT,1992,31.037298
Austria,AUT,1993,32.088062
Austria,AUT,1994,31.296307
Austria,AUT,1995,31.515926
Austria,AUT,1996,28.95124
Austria,AUT,1997,29.96351
Austria,AUT,1998,30.441757
Austria,AUT,1999,32.248478
Austria,AUT,2000,32.955013
Austria,AUT,2001,30.816671
Austria,AUT,2002,30.325117
Austria,AUT,2003,25.140518
Austria,AUT,2004,27.633783
Austria,AUT,2005,27.928648
Austria,AUT,2006,28.57241
Austria,AUT,2007,30.966675
Austria,AUT,2008,31.329908
Austria,AUT,2009,34.31661
Austria,AUT,2010,31.5994
Austria,AUT,2011,30.510199
Austria,AUT,2012,35.894623
Austria,AUT,2013,35.275146
Austria,AUT,2014,36.64313
Austria,AUT,2015,35.00307
Austria,AUT,2016,35.69875
Austria,AUT,2017,34.537975
Austria,AUT,2018,34.527843
Austria,AUT,2019,35.54422
Austria,AUT,2020,38.186146
Austria,AUT,2021,36.084133
Austria,AUT,2022,36.607925
Azerbaijan,AZE,1985,1.6519357
Azerbaijan,AZE,1986,0.9406936
Azerbaijan,AZE,1987,0.9706842
Azerbaijan,AZE,1988,0.842058
Azerbaijan,AZE,1989,0.8257339
Azerbaijan,AZE,1990,1.8816601
Azerbaijan,AZE,1991,2.0779731
Azerbaijan,AZE,1992,2.4099329
Azerbaijan,AZE,1993,3.8572147
Azerbaijan,AZE,1994,3.1670034
Azerbaijan,AZE,1995,2.8640726
Azerbaijan,AZE,1996,3.449877
Azerbaijan,AZE,1997,4.0128255
Azerbaijan,AZE,1998,4.5553145
Azerbaijan,AZE,1999,3.5244212
Azerbaijan,AZE,2000,3.4349427
Azerbaijan,AZE,2001,3.004117
Azerbaijan,AZE,2002,4.6939816
Azerbaijan,AZE,2003,5.2657747
Azerbaijan,AZE,2004,5.1585817
Azerbaijan,AZE,2005,5.165004
Azerbaijan,AZE,2006,4.3662996
Azerbaijan,AZE,2007,4.4247346
Azerbaijan,AZE,2008,4.1157107
Azerbaijan,AZE,2009,4.931007
Azerbaijan,AZE,2010,7.419545
Azerbaijan,AZE,2011,5.0353055
Azerbaijan,AZE,2012,3.3029988
Azerbaijan,AZE,2013,2.7653382
Azerbaijan,AZE,2014,2.4241152
Azerbaijan,AZE,2015,2.7468376
Azerbaijan,AZE,2016,3.331108
Azerbaijan,AZE,2017,3.0345747
Azerbaijan,AZE,2018,3.0657055
Azerbaijan,AZE,2019,2.6910236
Azerbaijan,AZE,2020,1.9140551
Azerbaijan,AZE,2021,2.0616357
Azerbaijan,AZE,2022,2.5034385
Bangladesh,BGD,1971,3.859758
Bangladesh,BGD,1972,3.406534
Bangladesh,BGD,1973,5.024387
Bangladesh,BGD,1974,3.4634595
Bangladesh,BGD,1975,6.043976
Bangladesh,BGD,1976,5.868124
Bangladesh,BGD,1977,5.079776
Bangladesh,BGD,1978,5.5367117
Bangladesh,BGD,1979,5.825672
Bangladesh,BGD,1980,4.96088
Bangladesh,BGD,1981,5.0166492
Bangladesh,BGD,1982,3.8052511
Bangladesh,BGD,1983,4.870658
Bangladesh,BGD,1984,6.1055837
Bangladesh,BGD,1985,4.526682
Bangladesh,BGD,1986,2.5327973
Bangladesh,BGD,1987,2.6365013
Bangladesh,BGD,1988,3.0908637
Bangladesh,BGD,1989,3.907864
Bangladesh,BGD,1990,3.5392714
Bangladesh,BGD,1991,3.4776092
Bangladesh,BGD,1992,3.0288854
Bangladesh,BGD,1993,2.104329
Bangladesh,BGD,1994,2.7616804
Bangladesh,BGD,1995,1.0269947
Bangladesh,BGD,1996,1.9475645
Bangladesh,BGD,1997,1.8034276
Bangladesh,BGD,1998,2.0371237
Bangladesh,BGD,1999,1.9397291
Bangladesh,BGD,2000,1.6270729
Bangladesh,BGD,2001,1.8750032
Bangladesh,BGD,2002,1.4013934
Bangladesh,BGD,2003,1.3187346
Bangladesh,BGD,2004,1.23592
Bangladesh,BGD,2005,1.1360204
Bangladesh,BGD,2006,1.0482597
Bangladesh,BGD,2007,1.0219762
Bangladesh,BGD,2008,1.2238175
Bangladesh,BGD,2009,0.5128985
Bangladesh,BGD,2010,0.8643462
Bangladesh,BGD,2011,0.95213187
Bangladesh,BGD,2012,0.8133145
Bangladesh,BGD,2013,0.768418
Bangladesh,BGD,2014,0.6303479
Bangladesh,BGD,2015,0.7730467
Bangladesh,BGD,2016,0.7727132
Bangladesh,BGD,2017,0.85236263
Bangladesh,BGD,2018,0.706803
Bangladesh,BGD,2019,0.6336403
Bangladesh,BGD,2020,0.6318109
Bangladesh,BGD,2021,0.6982034
Bangladesh,BGD,2022,0.7543987
Belarus,BLR,1985,0.0144934775
Belarus,BLR,1986,0.012695331
Belarus,BLR,1987,0.012513183
Belarus,BLR,1988,0.012336068
Belarus,BLR,1989,0.012754957
Belarus,BLR,1990,0.012691677
Belarus,BLR,1991,0.011448725
Belarus,BLR,1992,0.012468852
Belarus,BLR,1993,0.0166659
Belarus,BLR,1994,0.019936152
Belarus,BLR,1995,0.023589265
Belarus,BLR,1996,0.018399423
Belarus,BLR,1997,0.023874052
Belarus,BLR,1998,0.032551832
Belarus,BLR,1999,0.022707757
Belarus,BLR,2000,0.031301863
Belarus,BLR,2001,0.035543468
Belarus,BLR,2002,0.03299707
Belarus,BLR,2003,0.03189618
Belarus,BLR,2004,0.034378063
Belarus,BLR,2005,0.03728526
Belarus,BLR,2006,0.036015313
Belarus,BLR,2007,0.049694058
Belarus,BLR,2008,0.10043772
Belarus,BLR,2009,0.1969071
Belarus,BLR,2010,0.2567777
Belarus,BLR,2011,0.24898136
Belarus,BLR,2012,0.26323506
Belarus,BLR,2013,0.3147603
Belarus,BLR,2014,0.3043164
Belarus,BLR,2015,0.3573981
Belarus,BLR,2016,0.42177868
Belarus,BLR,2017,0.7627388
Belarus,BLR,2018,0.6259269
Belarus,BLR,2019,0.76101774
Belarus,BLR,2020,1.0449064
Belarus,BLR,2021,0.92039275
Belarus,BLR,2022,0.99566615
Belgium,BEL,1965,0.19477375
Belgium,BEL,1966,0.2222244
Belgium,BEL,1967,0.16850355
Belgium,BEL,1968,0.15502341
Belgium,BEL,1969,0.13315213
Belgium,BEL,1970,0.13480939
Belgium,BEL,1971,0.07485565
Belgium,BEL,1972,0.094584495
Belgium,BEL,1973,0.15358603
Belgium,BEL,1974,0.19144315
Belgium,BEL,1975,0.15560855
Belgium,BEL,1976,0.09175518
Belgium,BEL,1977,0.26350048
Belgium,BEL,1978,0.2591517
Belgium,BEL,1979,0.28706482
Belgium,BEL,1980,0.31437635
Belgium,BEL,1981,0.38186046
Belgium,BEL,1982,0.2197636
Belgium,BEL,1983,0.21319488
Belgium,BEL,1984,0.21372305
Belgium,BEL,1985,0.18697686
Belgium,BEL,1986,0.24818589
Belgium,BEL,1987,0.30061248
Belgium,BEL,1988,0.28122678
Belgium,BEL,1989,0.25771406
Belgium,BEL,1990,0.27479723
Belgium,BEL,1991,0.25747827
Belgium,BEL,1992,0.29419133
Belgium,BEL,1993,0.24665135
Belgium,BEL,1994,0.2759149
Belgium,BEL,1995,0.3051201
Belgium,BEL,1996,0.24271938
Belgium,BEL,1997,0.25003314
Belgium,BEL,1998,0.31667665
Belgium,BEL,1999,0.36021912
Belgium,BEL,2000,0.433269
Belgium,BEL,2001,0.44920534
Belgium,BEL,2002,0.47973493
Belgium,BEL,2003,0.48671448
Belgium,BEL,2004,0.606298
Belgium,BEL,2005,0.8666806
Belgium,BEL,2006,1.2095445
Belgium,BEL,2007,1.4152513
Belgium,BEL,2008,1.7643934
Belgium,BEL,2009,2.5553334
Belgium,BEL,2010,3.1909645
Belgium,BEL,2011,4.0780997
Belgium,BEL,2012,5.1477056
Belgium,BEL,2013,5.4598446
Belgium,BEL,2014,6.152073
Belgium,BEL,2015,6.7980423
Belgium,BEL,2016,6.4831247
Belgium,BEL,2017,7.0612073
Belgium,BEL,2018,7.538357
Belgium,BEL,2019,8.078723
Belgium,BEL,2020,10.863046
Belgium,BEL,2021,9.543632
Belgium,BEL,2022,10.685728
Brazil,BRA,1965,27.548725
Brazil,BRA,1966,27.618214
Brazil,BRA,1967,27.880291
Brazil,BRA,1968,25.555754
Brazil,BRA,1969,25.05622
Brazil,BRA,1970,27.117094
Brazil,BRA,1971,26.37442
Brazil,BRA,1972,27.116016
Brazil,BRA,1973,26.067352
Brazil,BRA,1974,26.414951
Brazil,BRA,1975,27.490095
Brazil,BRA,1976,28.666958
Brazil,BRA,1977,30.686188
Brazil,BRA,1978,30.963718
Brazil,BRA,1979,32.51719
Brazil,BRA,1980,35.243515
Brazil,BRA,1981,36.3235
Brazil,BRA,1982,37.79666
Brazil,BRA,1983,41.02851
Brazil,BRA,1984,42.65514
Brazil,BRA,1985,43.111156
Brazil,BRA,1986,42.787334
Brazil,BRA,1987,42.403927
Brazil,BRA,1988,43.9331
Brazil,BRA,1989,44.16665
Brazil,BRA,1990,44.53114
Brazil,BRA,1991,45.268887
Brazil,BRA,1992,45.73639
Brazil,BRA,1993,45.985283
Brazil,BRA,1994,45.4955
Brazil,BRA,1995,44.73329
Brazil,BRA,1996,44.30005
Brazil,BRA,1997,43.421165
Brazil,BRA,1998,43.59449
Brazil,BRA,1999,43.436108
Brazil,BRA,2000,42.443245
Brazil,BRA,2001,38.569214
Brazil,BRA,2002,40.180744
Brazil,BRA,2003,41.64891
Brazil,BRA,2004,41.635994
Brazil,BRA,2005,42.51229
Brazil,BRA,2006,42.397827
Brazil,BRA,2007,43.479145
Brazil,BRA,2008,42.63199
Brazil,BRA,2009,45.54154
Brazil,BRA,2010,43.85847
Brazil,BRA,2011,43.93462
Brazil,BRA,2012,41.70022
Brazil,BRA,2013,39.92749
Brazil,BRA,2014,38.842846
Brazil,BRA,2015,40.033836
Brazil,BRA,2016,42.97847
Brazil,BRA,2017,42.650604
Brazil,BRA,2018,45.428116
Brazil,BRA,2019,46.808254
Brazil,BRA,2020,48.693333
Brazil,BRA,2021,44.914055
Brazil,BRA,2022,48.73519
Bulgaria,BGR,1965,4.931371
Bulgaria,BGR,1966,4.6229753
Bulgaria,BGR,1967,4.0036206
Bulgaria,BGR,1968,2.3115647
Bulgaria,BGR,1969,2.9225402
Bulgaria,BGR,1970,3.0394952
Bulgaria,BGR,1971,2.9434657
Bulgaria,BGR,1972,2.7616532
Bulgaria,BGR,1973,3.2605417
Bulgaria,BGR,1974,2.5623977
Bulgaria,BGR,1975,2.7339408
Bulgaria,BGR,1976,3.1084793
Bulgaria,BGR,1977,3.5239036
Bulgaria,BGR,1978,2.805369
Bulgaria,BGR,1979,3.0763478
Bulgaria,BGR,1980,3.2677274
Bulgaria,BGR,1981,3.2318056
Bulgaria,BGR,1982,2.6594317
Bulgaria,BGR,1983,2.90392
Bulgaria,BGR,1984,2.839835
Bulgaria,BGR,1985,1.9635512
Bulgaria,BGR,1986,2.0015333
Bulgaria,BGR,1987,2.1663287
Bulgaria,BGR,1988,2.1662035
Bulgaria,BGR,1989,2.2651663
Bulgaria,BGR,1990,1.7079413
Bulgaria,BGR,1991,2.7433498
Bulgaria,BGR,1992,2.464117
Bulgaria,BGR,1993,2.174688
Bulgaria,BGR,1994,1.7086737
Bulgaria,BGR,1995,2.5057259
Bulgaria,BGR,1996,3.1733513
Bulgaria,BGR,1997,3.1661363
Bulgaria,BGR,1998,3.7024214
Bulgaria,BGR,1999,3.745924
Bulgaria,BGR,2000,3.6340146
Bulgaria,BGR,2001,2.2697885
Bulgaria,BGR,2002,2.9366899
Bulgaria,BGR,2003,3.8963988
Bulgaria,BGR,2004,4.188987
Bulgaria,BGR,2005,5.263734
Bulgaria,BGR,2006,5.032035
Bulgaria,BGR,2007,3.5484216
Bulgaria,BGR,2008,3.62552
Bulgaria,BGR,2009,5.1668735
Bulgaria,BGR,2010,7.6886454
Bulgaria,BGR,2011,4.928012
Bulgaria,BGR,2012,7.3071733
Bulgaria,BGR,2013,10.177441
Bulgaria,BGR,2014,10.104898
Bulgaria,BGR,2015,11.299108
Bulgaria,BGR,2016,9.809312
Bulgaria,BGR,2017,8.443123
Bulgaria,BGR,2018,12.588787
Bulgaria,BGR,2019,10.773822
Bulgaria,BGR,2020,11.537758
Bulgaria,BGR,2021,13.718689
Bulgaria,BGR,2022,12.63413
CIS (EI),,1965,3.4813333
CIS (EI),,1966,3.6910224
CIS (EI),,1967,3.3877106
CIS (EI),,1968,3.8358662
CIS (EI),,1969,4.0670166
CIS (EI),,1970,4.17463
CIS (EI),,1971,4.0343986
CIS (EI),,1972,3.7400343
CIS (EI),,1973,3.5433114
CIS (EI),,1974,3.623434
CIS (EI),,1975,3.2949784
CIS (EI),,1976,3.4166834
CIS (EI),,1977,3.5416842
CIS (EI),,1978,3.918541
CIS (EI),,1979,3.8662984
CIS (EI),,1980,4.043397
CIS (EI),,1981,4.019434
CIS (EI),,1982,3.6683857
CIS (EI),,1983,3.7095654
CIS (EI),,1984,4.0228815
CIS (EI),,1985,4.789064
CIS (EI),,1986,4.7097397
CIS (EI),,1987,4.614114
CIS (EI),,1988,4.7027802
CIS (EI),,1989,4.5643034
CIS (EI),,1990,4.901607
CIS (EI),,1991,4.9927187
CIS (EI),,1992,5.3416343
CIS (EI),,1993,5.9464073
CIS (EI),,1994,6.628401
CIS (EI),,1995,6.8596096
CIS (EI),,1996,6.399551
CIS (EI),,1997,6.7496405
CIS (EI),,1998,6.7798166
CIS (EI),,1999,6.8566427
CIS (EI),,2000,6.9651933
CIS (EI),,2001,7.072787
CIS (EI),,2002,6.724049
CIS (EI),,2003,6.4876375
CIS (EI),,2004,6.961633
