Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Africa,,2002,7.325133,0.49089664,0.04903564,1.2947483,248.17819,33.585613,670.636,934.42163,1456.7892
Africa,,2003,8.252064,0.5413214,0.058174383,1.5533037,239.47658,35.24046,711.536,1017.0484,1501.1073
Africa,,2004,9.302899,0.6367552,0.07079313,2.213917,251.33615,36.957523,783.10583,1119.1617,1571.3392
Africa,,2005,9.396595,0.056165278,0.0841371,2.2345567,254.37917,31.029053,808.0279,1039.0726,1641.0862
Africa,,2006,11.809589,0.07229944,0.10787505,2.4258938,261.91766,27.375378,843.74774,1054.0969,1657.1124
Africa,,2007,9.802753,0.79117525,0.14273654,2.8734944,269.18546,30.707249,900.41455,1071.6333,1719.9576
Africa,,2008,10.171823,0.6100897,0.2041617,3.6861722,272.4835,35.065548,935.5027,1180.7251,1806.7784
Africa,,2009,10.973952,0.34024888,0.26760218,4.4382644,278.0456,34.31848,941.2384,1176.002,1871.0247
Africa,,2010,11.492783,0.21081665,0.5996689,6.3410387,298.87427,36.028275,981.41986,1165.7358,1950.0488
Africa,,2011,12.089014,0.5046833,1.6609564,6.5835404,305.47137,34.154095,1061.5934,1147.9299,1916.3331
Africa,,2012,12.520772,0.60669947,2.7218072,6.897696,304.92633,34.119267,1147.7354,1119.2825,2036.6793
Africa,,2013,13.565807,0.5885836,2.1511917,9.793645,320.25552,36.891415,1170.6193,1131.4148,2110.8115
Africa,,2014,16.062428,0.56845164,5.163514,13.708232,336.39395,35.859425,1203.4098,1184.3005,2132.531
Africa,,2015,20.12022,0.7144939,9.722824,23.996231,324.0321,31.62243,1326.6871,1120.4587,2192.255
Africa,,2016,20.435162,0.6501514,14.239504,29.919563,312.72516,38.599903,1371.4885,1186.4392,2207.7068
Africa,,2017,21.778883,0.63716745,18.50974,36.2268,333.38794,36.245564,1450.0593,1185.3502,2233.6814
Africa,,2018,23.123674,0.9879091,22.178051,39.058712,354.02264,29.399641,1544.4722,1164.7024,2255.9873
Africa,,2019,23.529425,0.85472,29.34746,50.826218,364.74646,33.520515,1551.5337,1230.6681,2274.9304
Africa,,2020,22.484821,0.87190473,40.154903,50.177155,388.30878,24.957308,1536.9286,1178.5452,2024.5469
Africa,,2021,22.461031,1.1096736,46.85353,59.608654,398.66202,31.02282,1684.705,1159.7943,2208.283
Africa,,2022,23.924511,1.1215224,47.401512,62.29431,408.593,25.268139,1625.0382,1103.5779,2329.607
Africa,,1965,,,,0,41.118813,0,9.571929,323.49615,342.1337
Africa,,1966,,,,0,45.862915,0,10.698091,323.1222,370.45
Africa,,1967,,,,0,47.875538,0,10.573845,330.29156,369.19354
Africa,,1968,,,,0,56.00047,0,10.717145,343.5129,390.3657
Africa,,1969,,,,0,65.3521,0,12.520175,346.64288,398.15326
Africa,,1970,,,,0,81.70287,0,15.5485,360.7569,435.02704
Africa (EI),,1971,0.52352136,,0,0,76.92132,0,18.405264,383.0123,474.30536
Africa (EI),,1972,0.5267136,,0,0,87.625046,0,24.670656,384.21082,510.7296
Africa (EI),,1973,0.5426747,,0,0,92.68892,0,39.551792,408.91034,549.804
Africa (EI),,1974,0.5586358,,0,0,105.467155,0,44.518486,425.6462,569.7385
Africa (EI),,1975,0.54905915,,0,0,111.53163,0,53.638374,451.08047,597.6711
Africa (EI),,1976,0.59055775,,0,0,123.595146,0,60.98139,481.07416,652.5852
Africa (EI),,1977,0.6033267,,0,0,135.81087,0,68.23419,491.69843,695.1952
Africa (EI),,1978,0.6224797,,0,0,136.92912,0,97.369896,477.81558,732.366
Africa (EI),,1979,0.64163303,,0,0,146.56386,0,148.8428,507.24698,771.1747
Africa (EI),,1980,0.66078633,,0,0,142.85742,0,186.91397,543.55707,818.15454
Africa (EI),,1981,0.6959005,,0,0,148.41988,0,228.49115,635.79877,885.4927
Africa (EI),,1982,0.7533603,,0,0,148.4593,0,246.73354,701.17584,926.5319
Africa (EI),,1983,0.7342069,,0,0,133.79536,0,271.27533,713.24603,964.7042
Africa (EI),,1984,0.7469758,,0,0,131.55637,11.137245,259.90277,762.8978,982.03625
Africa (EI),,1985,0.8587031,,0,0,146.22218,15.081391,278.84274,787.1659,1007.3241
Africa (EI),,1986,1.9731369,,0,0,151.23631,24.978643,313.2712,805.356,984.45636
Africa (EI),,1987,1.9731369,,0,0,145.05942,17.498955,323.38437,828.3197,1038.56
Africa (EI),,1988,1.8837552,,0,0,158.47527,29.774042,358.44455,890.16077,1081.7911
Africa (EI),,1989,1.8550252,,0,0,166.40816,31.493576,371.47104,835.62085,1117.5557
Africa (EI),,1990,2.4564898,0,0,0,169.3014,23.974163,398.6454,877.6782,1135.7397
Africa (EI),,1991,2.5178437,0,0,0,179.3458,25.946236,401.6356,853.76215,1141.6711
Africa (EI),,1992,2.6294963,0,0,0,171.09227,26.35484,421.27026,858.8311,1163.9397
Africa (EI),,1993,2.9341135,0,0,0.005913972,167.60956,20.58617,412.64398,871.7139,1175.8846
Africa (EI),,1994,2.6102505,0,0,0.015967749,170.3109,27.51538,431.8279,894.4478,1213.9683
Africa (EI),,1995,3.1447382,0,0,0.018629028,176.73593,32.066753,461.24347,922.47125,1255.8746
Africa (EI),,1996,3.9078012,0,0,0.020994611,184.26909,33.41174,484.19174,935.2283,1283.199
Africa (EI),,1997,4.3277464,0,0,0.021290332,188.81116,35.88605,474.47552,959.0191,1323.6312
Africa (EI),,1998,5.356451,0,0,0.02247311,197.0978,38.593037,499.33698,937.03894,1354.9564
Africa (EI),,1999,5.315038,0,0,0.05854833,209.01259,36.42518,504.0196,966.0107,1404.4688
Africa (EI),,2000,7.232071,0,0.035309445,0.51895165,222.53064,36.91607,556.8223,963.7305,1407.994
Africa (EI),,2001,7.4369783,0,0.043949444,1.2208859,237.57631,30.217817,634.6361,975.9262,1422.8947
Africa (EI),,2002,7.325133,0.49089664,0.049035557,1.2947483,248.17819,33.585613,670.636,934.4216,1456.7892
Africa (EI),,2003,8.252064,0.5413214,0.058174446,1.5533036,239.4766,35.24046,711.5361,1017.0484,1501.1073
Africa (EI),,2004,9.302899,0.6367552,0.07079333,2.213917,251.33614,36.957523,783.1059,1119.1619,1571.3392
Africa (EI),,2005,9.396595,0.056165278,0.08413694,2.234557,254.37918,31.029053,808.02795,1039.0726,1641.0863
Africa (EI),,2006,11.809589,0.07229944,0.107875,2.425894,261.91766,27.375378,843.74774,1054.097,1657.1124
Africa (EI),,2007,9.802753,0.79117525,0.14273639,2.8734944,269.18546,30.707249,900.4145,1071.6333,1719.9576
Africa (EI),,2008,10.1718235,0.61008966,0.20416167,3.6861725,272.4835,35.065548,935.5027,1180.7251,1806.7784
Africa (EI),,2009,10.973952,0.34024888,0.26760194,4.4382644,278.0456,34.31848,941.2384,1176.002,1871.0248
Africa (EI),,2010,11.492782,0.21081667,0.59966856,6.341038,298.87427,36.028275,981.41986,1165.736,1950.0487
Africa (EI),,2011,12.089015,0.5046833,1.6609564,6.58354,305.47137,34.154095,1061.5934,1147.9299,1916.3333
Africa (EI),,2012,12.520772,0.6066994,2.7218072,6.8976955,304.92633,34.119267,1147.7354,1119.2825,2036.6794
Africa (EI),,2013,13.565806,0.5885836,2.1511917,9.793645,320.25552,36.891415,1170.6193,1131.4148,2110.8115
Africa (EI),,2014,16.062428,0.56845164,5.1635137,13.708232,336.39395,35.859425,1203.4098,1184.3007,2132.531
Africa (EI),,2015,20.120222,0.71449417,9.722824,23.996231,324.03214,31.62243,1326.6871,1120.4589,2192.255
Africa (EI),,2016,20.435162,0.6501514,14.239504,29.919565,312.72516,38.599903,1371.4885,1186.4392,2207.7068
Africa (EI),,2017,21.778885,0.6371675,18.509743,36.2268,333.38794,36.245564,1450.0592,1185.3502,2233.6814
Africa (EI),,2018,23.123674,0.98790914,22.178051,39.058712,354.0226,29.399641,1544.472,1164.7024,2255.9873
Africa (EI),,2019,23.529425,0.8547197,29.34746,50.826218,364.74643,33.520515,1551.5338,1230.6681,2274.9304
Africa (EI),,2020,22.484823,0.8719047,40.154903,50.17715,388.30878,24.957308,1536.9285,1178.5452,2024.547
Africa (EI),,2021,22.461031,1.1096733,46.85353,59.608654,398.662,31.02282,1684.7048,1159.7943,2208.2827
Africa (EI),,2022,23.924511,1.1215224,47.401516,62.29431,408.593,25.268139,1625.0382,1103.5779,2329.6067
Africa (EI),,1965,,,,0,41.118813,0,9.571929,323.49615,342.1337
Africa (EI),,1966,,,,0,45.86291,0,10.698091,323.1222,370.45
Africa (EI),,1967,,,,0,47.875538,0,10.573844,330.2916,369.1935
Africa (EI),,1968,,,,0,56.000465,0,10.717145,343.51288,390.3657
Africa (EI),,1969,,,,0,65.35209,0,12.520175,346.64288,398.15326
Africa (EI),,1970,,,,0,81.70288,0,15.548499,360.7569,435.02707
Algeria,DZA,1990,0,,0,0,0.39919358,0,195.09874,7.66417,111.811615
Algeria,DZA,1991,0,,0,0,0.86639774,0,192.69249,7.9084,110.627785
Algeria,DZA,1992,0,,0,0,0.58844084,0,198.94875,9.397039,111.292656
Algeria,DZA,1993,0,,0,0,1.0438172,0,178.54373,7.6525397,110.754875
Algeria,DZA,1994,0,,0,0,0.49086028,0,188.16875,7.2106,106.05089
Algeria,DZA,1995,0,,0,0,0.57069886,0,202.22125,7.2106,103.14228
Algeria,DZA,1996,0,,0,0,0.39919358,0,207.70749,3.3959599,98.42207
Algeria,DZA,1997,0,,0,0,0.22177416,0,194.04001,5.95456,97.64342
Algeria,DZA,1998,0,,0,0,0.6357528,0,200.68124,6.37324,100.65875
Algeria,DZA,1999,0,,0,0,0.6002689,0,205.10875,6.82681,98.898346
Algeria,DZA,2000,0,,0,0,0.1596775,0,191.01292,5.6405497,103.13248
Algeria,DZA,2001,0,,0,0,0.2027075,0,197.32211,6.5127997,106.77533
Algeria,DZA,2002,0,,0,0,0.16637361,0,194.83887,8.54805,118.397224
Algeria,DZA,2003,0,,0,0,0.76853275,0,205.93167,7.0477796,123.17411
Algeria,DZA,2004,0,,0,0,0.72329473,0,211.89917,8.408489,128.74683
Algeria,DZA,2005,0,,0,0,1.5900536,0,223.55986,6.9082203,134.21338
Algeria,DZA,2006,0,,0,0,0.61916,0,228.4975,10.25766,139.84572
Algeria,DZA,2007,0,,0,0,0.63904226,0,233.80681,8.80391,156.39
Algeria,DZA,2008,0,,0,0,0.79524636,0,244.04187,8.80391,169.9159
Algeria,DZA,2009,0,,0,0,0.9551075,0,262.1176,5.65218,180.13441
Algeria,DZA,2010,0,,0.025257777,0,0.48017526,0,253.27225,3.6053,181.61191
Algeria,DZA,2011,0,,0.049983334,0,1.0427713,0,267.9696,3.1982498,192.22765
Algeria,DZA,2012,0,,0.07327278,0,1.0666127,0,298.74075,3.3959599,204.39526
Algeria,DZA,2013,0,,0.077946946,0,0.26981637,0,321.21512,1.83754,213.57639
Algeria,DZA,2014,0,,0.16254583,0.0027090972,0.5228558,0,360.91824,2.08177,221.92514
Algeria,DZA,2015,0,,0.1561925,0.05116639,0.3904811,0,379.225,1.5467899,236.14848
Algeria,DZA,2016,0,,0.65587413,0.051003054,0.19274665,0,385.9625,0.56987,229.56384
Algeria,DZA,2017,0,,1.3412902,0.050564446,0.14903222,0,394.625,2.1166599,225.51212
Algeria,DZA,2018,0,,1.5953735,0.026457276,0.30955,0,434.0875,5.815,227.7859
Algeria,DZA,2019,0,,1.6211231,0.02635972,0.40066776,0,450.54623,4.80319,236.9513
Algeria,DZA,2020,0,,1.799008,0.020222416,0.13026388,0,433.50037,1.52353,211.92543
Algeria,DZA,2021,0,,1.7374732,0.027475111,0.024335083,0,477.015,3.10521,221.15904
Algeria,DZA,2022,0,,1.7774663,0.027374918,0.20017584,0,442.74997,1.4969789,238.61775
Algeria,DZA,1965,,,,,1.1827958,0,7.4305,0.81409997,15.4052515
Algeria,DZA,1966,,,,,1.0497311,0,7.7192497,0.79083997,20.272705
Algeria,DZA,1967,,,,,1.2123655,0,7.48825,0.60476,18.94203
Algeria,DZA,1968,,,,,1.664785,0,7.87325,0.63965,20.167301
Algeria,DZA,1969,,,,,1.067473,0,10.351687,0.81409997,21.305931
Algeria,DZA,1970,,,,,1.7150539,0,9.730875,0.96528995,24.34768
Algeria,DZA,1971,,,,,0.97580636,0,11.0494995,0.26749,27.440048
Algeria,DZA,1972,,,,,1.4637097,0,12.830125,0.23259999,30.121414
Algeria,DZA,1973,,,,,2.2236557,0,17.859186,0.26749,32.900345
Algeria,DZA,1974,,,,,1.4696236,0,20.6745,0.22096999,36.54384
Algeria,DZA,1975,,,,,0.9698925,0,28.49,0.27912,40.63067
Algeria,DZA,1976,,,,,1.1502688,0,33.6875,0.54660994,46.71773
Algeria,DZA,1977,,,,,0.79543,0,35.901253,0.70943,52.80649
Algeria,DZA,1978,,,,,0.73924726,0,57.65375,0.36053,54.607944
Algeria,DZA,1979,,,,,0.8604839,0,81.52374,0.83736,65.31862
Algeria,DZA,1980,,,,,0.75994605,0,109.43624,0.74432,66.20243
Algeria,DZA,1981,,,,,1.0822581,0,142.25749,0.52335,71.323074
Algeria,DZA,1982,,,,,1.4163978,0,161.41124,9.711049,75.57342
Algeria,DZA,1983,,,,,0.69489247,0,176.715,8.66435,84.89242
Algeria,DZA,1984,,,,,1.336559,0,155.25125,9.60638,94.00201
Algeria,DZA,1985,,,,,1.910215,0,153.8075,10.025061,96.5538
Algeria,DZA,1986,,,,,0.73924726,0,168.43748,10.292549,98.02125
Algeria,DZA,1987,,,,,1.4755378,0,172.2875,12.30454,99.10052
Algeria,DZA,1988,,,,,0.5411292,0,194.13625,11.571849,99.1726
Algeria,DZA,1989,,,,,0.6682794,0,182.68251,9.78083,103.93665
Angola,AGO,1965,,,,,,0,,,
Angola,AGO,1966,,,,,,0,,,
Angola,AGO,1967,,,,,,0,,,
Angola,AGO,1968,,,,,,0,,,
Angola,AGO,1969,,,,,,0,,,
Angola,AGO,1970,,,,,,0,,,
Angola,AGO,1971,,,,,,0,,,
Angola,AGO,1972,,,,,,0,,,
Angola,AGO,1973,,,,,,0,,,
Angola,AGO,1974,,,,,,0,,,
Angola,AGO,1975,,,,,,0,,,
Angola,AGO,1976,,,,,,0,,,
Angola,AGO,1977,,,,,,0,,,
Angola,AGO,1978,,,,,,0,,,
Angola,AGO,1979,,,,,,0,,,
Angola,AGO,1980,,,,,,0,,,
Angola,AGO,1981,,,,,,0,,,
Angola,AGO,1982,,,,,,0,,,
Angola,AGO,1983,,,,,,0,,,
Angola,AGO,1984,,,,,,0,,,
Angola,AGO,1985,,,,,,0,,,
Angola,AGO,1986,,,,,,0,,,
Angola,AGO,1987,,,,,,0,,,
Angola,AGO,1988,,,,,,0,,,
Angola,AGO,1989,,,,,,0,,,
Angola,AGO,1990,,,,,,0,,,
Angola,AGO,1991,,,,,,0,,,
Angola,AGO,1992,,,,,,0,,,
Angola,AGO,1993,,,,,,0,,,
Angola,AGO,1994,,,,,,0,,,
Angola,AGO,1995,,,,,,0,,,
Angola,AGO,1996,,,,,,0,,,
Angola,AGO,1997,,,,,,0,,,
Angola,AGO,1998,,,,,,0,,,
Angola,AGO,1999,,,,,,0,,,
Angola,AGO,2000,,,,,,0,,,
Angola,AGO,2001,,,,,,0,,,
Angola,AGO,2002,,,,,,0,,,
Angola,AGO,2003,,,,,,0,,,
Angola,AGO,2004,,,,,,0,,,
Angola,AGO,2005,,,,,,0,,,
Angola,AGO,2006,,,,,,0,,,
Angola,AGO,2007,,,,,,0,,,
Angola,AGO,2008,,,,,,0,,,
Angola,AGO,2009,,,,,,0,,,
Angola,AGO,2010,,,,,,0,,,
Angola,AGO,2011,,,,,,0,,,
Angola,AGO,2012,,,,,,0,,,
Angola,AGO,2013,,,,,,0,,,
Angola,AGO,2014,,,,,,0,,,
Angola,AGO,2015,,,,,,0,,,
Angola,AGO,2016,,,,,,0,,,
Angola,AGO,2017,,,,,,0,,,
Angola,AGO,2018,,,,,,0,,,
Angola,AGO,2019,,,,,,0,,,
Angola,AGO,2020,,,,,,0,,,
Angola,AGO,2021,,,,,,0,,,
Angola,AGO,2022,,,,,,0,,,
Argentina,ARG,1965,0,,,,3.6226556,0,41.234,8.4550495,275.2159
Argentina,ARG,1966,0,,,,3.6694174,0,44.657196,6.971818,283.8763
Argentina,ARG,1967,0,,,,3.7574391,0,46.699448,7.840397,290.73495
Argentina,ARG,1968,0,,,,4.428607,0,51.999577,7.619035,296.7972
Argentina,ARG,1969,0,,,,3.971993,0,51.805073,9.1221695,308.01144
Argentina,ARG,1970,0.17953554,,,,4.6044087,0,58.5445,11.722598,278.4355
Argentina,ARG,1971,0.18831056,,,,4.5719438,0,63.202774,10.277542,296.5011
Argentina,ARG,1972,0.24269499,,,,4.443309,0,70.92442,8.651295,295.1862
Argentina,ARG,1973,0.19143721,,,,8.863367,0,80.70777,9.496522,297.19864
Argentina,ARG,1974,0.19473471,,,,14.769164,2.9396653,85.4244,11.825921,297.124
Argentina,ARG,1975,0.20427027,,,,15.360892,7.142025,87.525,11.51094,280.82806
Argentina,ARG,1976,0.194605,,,,14.829011,7.298088,98.51425,11.642586,290.2354
Argentina,ARG,1977,0.20431082,,,,17.052307,4.6450114,102.890495,11.008503,305.6577
Argentina,ARG,1978,0.20421417,,,,22.906666,8.217443,100.070244,13.419195,297.30927
Argentina,ARG,1979,0.3032075,,,,31.512377,7.6385903,102.890495,12.501674,319.8096
Argentina,ARG,1980,0.31608444,,,,44.77142,6.639785,112.12925,11.144589,297.0181
Argentina,ARG,1981,0.27777916,,,,43.42278,7.990442,117.18625,10.560467,278.5258
Argentina,ARG,1982,0.3670186,,,,52.01993,5.306153,133.13525,10.666076,265.01834
Argentina,ARG,1983,0.49471387,,,,54.463337,9.661737,143.152,9.679963,268.31186
Argentina,ARG,1984,0.36706665,,,,58.778633,13.168906,152.39075,7.185223,255.45346
Argentina,ARG,1985,0.38308498,,,,61.071068,16.36111,155.69725,10.599606,237.50685
Argentina,ARG,1986,0.39580223,,,,62.18621,16.205048,168.2425,12.109348,249.74571
Argentina,ARG,1987,0.33832997,,,,64.795074,18.344534,168.33974,13.439672,266.5798
Argentina,ARG,1988,0.3925175,,,,45.121124,16.451912,196.6395,13.772349,268.36047
Argentina,ARG,1989,0.33837858,,,,38.994976,14.298237,206.55899,14.902768,246.34749
Argentina,ARG,1990,0.42463276,,0,0,52.377666,20.659946,197.32025,12.266131,229.97305
Argentina,ARG,1991,0.4182047,,0,0,46.925213,22.007765,200.91849,10.794012,240.28345
Argentina,ARG,1992,0.41494164,,0,0,56.670963,20.092442,217.25648,12.168163,252.70636
Argentina,ARG,1993,0.30643585,,0,0,70.28262,21.99074,229.41273,8.069987,247.78004
Argentina,ARG,1994,0.3160422,,0,0,80.68641,23.366934,235.83125,7.065107,261.49545
Argentina,ARG,1995,0.37992388,,0,0,78.3711,20.049881,262.47775,7.414152,259.54364
Argentina,ARG,1996,0.7119275,,0,0.028440276,66.44853,21.165024,301.18326,7.766816,259.82446
Argentina,ARG,1997,0.5706336,,0,0.04314833,82.57294,22.589457,277.55148,6.1277137,275.29974
Argentina,ARG,1998,0.6604455,,0.00005026889,0.09622333,78.28777,21.147999,296.70972,8.23741,283.28546
Argentina,ARG,1999,0.8363575,,0.00007688166,0.10284694,63.270077,20.163382,314.701,9.885469,287.10687
Argentina,ARG,2000,1.2322811,,0.00010645166,0.102779165,84.49667,17.527328,322.96722,7.512647,264.93796
Argentina,ARG,2001,1.1587647,,0.000126325,0.14501223,107.4648,19.899952,302.35025,6.1568522,245.34851
Argentina,ARG,2002,1.691805,,0.00013718527,0.21425694,104.4325,16.304049,294.37573,4.5862966,232.86867
Argentina,ARG,2003,2.8110504,,0.00018850806,0.22607638,98.02586,21.055779,336.2905,5.593865,237.5023
Argentina,ARG,2004,2.7692764,,0.00020171555,0.20876417,87.78204,21.759527,368.09125,9.519818,254.68643
Argentina,ARG,2005,2.9256546,,0.00023193638,0.20536307,97.97495,18.885078,392.89,10.961645,266.6645
Argentina,ARG,2006,3.340032,,0.00025608638,0.19815388,108.16867,21.081717,406.505,9.9238205,281.325
Argentina,ARG,2007,3.4183764,,0.00030792778,0.17416167,88.27875,19.682814,427.12198,14.36036,312.6087
Argentina,ARG,2008,3.8497345,,0.00040380552,0.117885,87.67296,19.938072,431.88724,17.516068,316.19568
Argentina,ARG,2009,3.7953258,,0.00021248082,0.10285972,96.67863,21.929417,418.3556,9.620937,302.02786
Argentina,ARG,2010,4.3968244,5.9234138,0.00023839444,0.07036527,92.593056,19.20336,420.87415,13.472079,327.43576
Argentina,ARG,2011,4.4356213,8.673224,0.004452472,0.07335416,86.033966,16.94204,438.3979,14.618645,339.91183
Argentina,ARG,2012,4.638603,10.397099,0.022409748,1.0141377,79.966896,16.844624,456.64206,13.669181,360.51144
Argentina,ARG,2013,4.8742037,11.902397,0.041083056,1.2355814,89.3157,16.233166,460.2769,14.939302,382.57983
Argentina,ARG,2014,4.733484,13.891245,0.043193888,1.6782616,87.82,14.334412,461.54977,15.891717,379.9156
Argentina,ARG,2015,4.7479925,15.130985,0.03954083,1.5978347,87.08391,18.18994,466.52567,15.814129,387.81003
Argentina,ARG,2016,3.7572882,16.037184,0.038209442,1.4653004,79.64933,21.283125,482.1001,12.188642,375.905
Argentina,ARG,2017,4.66604,18.427944,0.043690275,1.6275572,84.081566,15.547312,483.00027,12.525288,371.47742
Argentina,ARG,2018,4.524067,17.594175,0.2860825,3.7377324,85.40055,17.446835,487.0214,13.709147,354.6256
Argentina,ARG,2019,4.7105803,17.97012,2.1079817,13.169229,72.50111,21.353771,465.58914,8.123962,321.83243
Argentina,ARG,2020,7.0213385,9.645983,3.5306728,24.71506,62.16348,25.229486,439.31244,10.015325,288.1951
Argentina,ARG,2021,7.1941686,10.419529,5.763542,33.85339,51.412483,25.535925,459.3407,14.052401,358.09964
Argentina,ARG,2022,7.472752,13.931288,7.658984,36.92865,62.283165,18.686522,456.82983,14.398857,382.78323
Asia,,1965,0.31922054,0,0,0,422.57114,0.07093778,94.07477,2604.784,2233.2266
Asia,,1966,0.38944888,0,0,0,440.72614,1.6571085,108.5265,2753.783,2506.5833
Asia,,1967,0.5522514,0,0,0,411.7628,1.7847968,126.21153,2667.2107,2879.2722
Asia,,1968,0.5714044,0,0,0,457.68658,2.9623656,148.64935,2708.1685,3251.113
Asia,,1969,0.5682125,0,0,0,475.1415,5.12677,183.48021,3056.8271,3745.6511
Asia,,1970,1.2185819,0,0,0,486.36957,16.71053,218.33952,3440.9536,4295.8433
Asia,,1971,1.185687,0,0,0,532.02374,25.625261,249.01791,3697.763,4780.934
Asia,,1972,1.2640164,0,0,0,550.21124,30.09737,276.8143,3842.575,5167.581
Asia,,1973,1.3495872,0,0,0,511.50867,34.164936,338.35718,3932.5076,5873.794
Asia,,1974,1.5334555,0,0,0,582.5669,62.50484,400.5083,4027.638,5864.1836
Asia,,1975,1.7763042,0,0,0,627.5821,79.10505,459.15836,4352.3564,5818.649
Asia,,1976,1.5568823,0,0,0,645.5118,105.70347,511.23123,4453.9956,6276.091
Asia,,1977,2.2133296,0,0,0,634.11053,96.498856,619.9296,4754.6685,6688.033
Asia,,1978,2.7942965,0,0,0,667.8612,189.37021,733.8872,4987.2344,7114.5605
Asia,,1979,5.3907022,0,0,0,722.0882,233.45267,894.3802,5233.9395,7377.731
Asia,,1980,9.333409,0,0,0,773.687,274.6574,932.2665,5541.4194,6967.1045
Asia,,1981,14.798612,0,0,0,825.0414,295.1559,957.2914,5723.564,6900.1816
Asia,,1982,42.29964,0,0,0,817.2095,345.1878,1022.4518,5951.464,6869.4585
Asia,,1983,49.01774,0,0,0,854.6579,412.8858,1100.3403,6326.967,7121.8887
Asia,,1984,53.77062,0,0,0,856.65027,496.60992,1353.0007,6892.806,7473.2397
Asia,,1985,57.24719,0,0,0,1014.9135,610.6749,2157.772,7993.0044,8199.495
Asia,,1986,60.14763,0,0,0,1022.63806,649.5678,2427.474,8322.275,8389.682
Asia,,1987,61.210728,0,0,0,1059.5243,768.97906,2586.5664,8908.044,8676.147
Asia,,1988,66.07489,0,0,0,1217.4332,725.6453,2777.1804,9504.191,9309.089
Asia,,1989,71.38683,0,0,0,1245.4998,757.5465,3012.6296,9890.94,9748.385
Asia,,1990,57.274326,0,0.011827972,0.09853655,1313.2598,814.75977,3132.374,10069.819,10312.535
Asia,,1991,58.428116,0,0.011827972,0.3637123,1327.7328,870.17255,3316.262,10463.952,10671.2705
Asia,,1992,59.23717,0,0.045833275,0.6528531,1337.3724,893.3349,3529.3804,10792.991,11284.275
Asia,,1993,58.6732,0,0.084274136,0.91622543,1486.4065,989.9413,3513.7263,11289.662,11734.465
