Entity,Code,Year,Primary energy consumption (TWh)
Africa,,2008,4245.2275
Africa,,2009,4316.6494
Africa,,2010,4450.7515
Africa,,2011,4486.3203
Africa,,2012,4665.4897
Africa,,2013,4796.092
Africa,,2014,4927.997
Africa,,2015,5049.6094
Africa,,2016,5182.204
Africa,,2017,5315.877
Africa,,2018,5433.9326
Africa,,2019,5559.957
Africa,,2020,5266.9756
Africa,,2021,5612.4995
Africa,,2022,5626.826
Africa (EI),,1965,716.3206
Africa (EI),,1966,750.1332
Africa (EI),,1967,757.9345
Africa (EI),,1968,800.5962
Africa (EI),,1969,822.66846
Africa (EI),,1970,893.03534
Africa (EI),,1971,953.1678
Africa (EI),,1972,1007.7628
Africa (EI),,1973,1091.4977
Africa (EI),,1974,1145.929
Africa (EI),,1975,1214.4706
Africa (EI),,1976,1318.8264
Africa (EI),,1977,1391.5421
Africa (EI),,1978,1445.103
Africa (EI),,1979,1574.4698
Africa (EI),,1980,1692.1438
Africa (EI),,1981,1898.8983
Africa (EI),,1982,2023.6539
Africa (EI),,1983,2083.7551
Africa (EI),,1984,2148.2773
Africa (EI),,1985,2235.4949
Africa (EI),,1986,2281.2717
Africa (EI),,1987,2354.7957
Africa (EI),,1988,2520.5295
Africa (EI),,1989,2524.4045
Africa (EI),,1990,2607.7954
Africa (EI),,1991,2604.8787
Africa (EI),,1992,2644.1177
Africa (EI),,1993,2651.3782
Africa (EI),,1994,2740.6965
Africa (EI),,1995,2851.5552
Africa (EI),,1996,2924.2285
Africa (EI),,1997,2986.1719
Africa (EI),,1998,3032.402
Africa (EI),,1999,3125.3103
Africa (EI),,2000,3195.7798
Africa (EI),,2001,3309.953
Africa (EI),,2002,3352.7705
Africa (EI),,2003,3514.8137
Africa (EI),,2004,3774.125
Africa (EI),,2005,3785.3667
Africa (EI),,2006,3858.6658
Africa (EI),,2007,4005.5083
Africa (EI),,2008,4245.2275
Africa (EI),,2009,4316.6494
Africa (EI),,2010,4450.7515
Africa (EI),,2011,4486.3203
Africa (EI),,2012,4665.4897
Africa (EI),,2013,4796.092
Africa (EI),,2014,4927.9976
Africa (EI),,2015,5049.609
Africa (EI),,2016,5182.204
Africa (EI),,2017,5315.877
Africa (EI),,2018,5433.932
Africa (EI),,2019,5559.957
Africa (EI),,2020,5266.9756
Africa (EI),,2021,5612.5
Africa (EI),,2022,5626.826
Africa (EIA),,1980,1946.264
Africa (EIA),,1981,1998.8145
Africa (EIA),,1982,2167.3872
Africa (EIA),,1983,2288.0544
Africa (EIA),,1984,2402.6306
Africa (EIA),,1985,2466.3853
Africa (EIA),,1986,2511.8733
Africa (EIA),,1987,2602.4355
Africa (EIA),,1988,2697.3552
Africa (EIA),,1989,2757.1694
Africa (EIA),,1990,2843.9297
Africa (EIA),,1991,2898.0703
Africa (EIA),,1992,2919.8528
Africa (EIA),,1993,2945.3792
Africa (EIA),,1994,3011.26
Africa (EIA),,1995,3145.9797
Africa (EIA),,1996,3250.3274
Africa (EIA),,1997,3326.657
Africa (EIA),,1998,3383.5667
Africa (EIA),,1999,3398.3457
Africa (EIA),,2000,3539.4062
Africa (EIA),,2001,3670.4253
Africa (EIA),,2002,3784.5994
Africa (EIA),,2003,3937.8345
Africa (EIA),,2004,4065.2747
Africa (EIA),,2005,4290.5386
Africa (EIA),,2006,4371.7607
Africa (EIA),,2007,4527.218
Africa (EIA),,2008,4727.9756
Africa (EIA),,2009,4727.0586
Africa (EIA),,2010,4954.6074
Africa (EIA),,2011,5083.864
Africa (EIA),,2012,5292.802
Africa (EIA),,2013,5464.019
Africa (EIA),,2014,5644.5435
Africa (EIA),,2015,5634.305
Africa (EIA),,2016,5674.2715
Africa (EIA),,2017,5853.867
Africa (EIA),,2018,5951.019
Africa (EIA),,2019,6119.822
Africa (EIA),,2020,5818.3057
Africa (EIA),,2021,5934.7466
Albania,ALB,1980,47.76526
Albania,ALB,1981,47.49055
Albania,ALB,1982,47.725487
Albania,ALB,1983,49.62744
Albania,ALB,1984,49.940987
Albania,ALB,1985,49.83857
Albania,ALB,1986,48.67189
Albania,ALB,1987,48.837517
Albania,ALB,1988,49.409107
Albania,ALB,1989,46.991184
Albania,ALB,1990,33.657845
Albania,ALB,1991,28.229689
Albania,ALB,1992,24.674017
Albania,ALB,1993,21.63845
Albania,ALB,1994,20.567207
Albania,ALB,1995,22.72757
Albania,ALB,1996,25.011456
Albania,ALB,1997,22.843916
Albania,ALB,1998,24.571817
Albania,ALB,1999,22.114038
Albania,ALB,2000,28.731913
Albania,ALB,2001,27.233145
Albania,ALB,2002,29.497454
Albania,ALB,2003,33.270126
Albania,ALB,2004,35.486534
Albania,ALB,2005,35.013653
Albania,ALB,2006,32.967403
Albania,ALB,2007,28.376635
Albania,ALB,2008,30.99076
Albania,ALB,2009,33.772945
Albania,ALB,2010,36.060646
Albania,ALB,2011,31.485647
Albania,ALB,2012,30.809958
Albania,ALB,2013,38.665195
Albania,ALB,2014,34.059666
Albania,ALB,2015,34.083374
Albania,ALB,2016,39.827103
Albania,ALB,2017,36.862617
Albania,ALB,2018,42.032387
Albania,ALB,2019,33.29553
Albania,ALB,2020,31.988321
Albania,ALB,2021,40.252644
Algeria,DZA,1965,24.832647
Algeria,DZA,1966,29.832525
Algeria,DZA,1967,28.247406
Algeria,DZA,1968,30.344986
Algeria,DZA,1969,33.539192
Algeria,DZA,1970,36.7589
Algeria,DZA,1971,39.732845
Algeria,DZA,1972,44.647846
Algeria,DZA,1973,53.250675
Algeria,DZA,1974,58.90893
Algeria,DZA,1975,70.36968
Algeria,DZA,1976,82.10211
Algeria,DZA,1977,90.2126
Algeria,DZA,1978,113.361465
Algeria,DZA,1979,148.5402
Algeria,DZA,1980,177.14294
Algeria,DZA,1981,215.18617
Algeria,DZA,1982,248.1121
Algeria,DZA,1983,270.96664
Algeria,DZA,1984,260.1962
Algeria,DZA,1985,262.29657
Algeria,DZA,1986,277.49054
Algeria,DZA,1987,285.1681
Algeria,DZA,1988,305.4218
Algeria,DZA,1989,297.06824
Algeria,DZA,1990,314.97372
Algeria,DZA,1991,312.0951
Algeria,DZA,1992,320.22687
Algeria,DZA,1993,297.99496
Algeria,DZA,1994,301.92108
Algeria,DZA,1995,313.1448
Algeria,DZA,1996,309.92474
Algeria,DZA,1997,297.85974
Algeria,DZA,1998,308.349
Algeria,DZA,1999,311.43417
Algeria,DZA,2000,299.94562
Algeria,DZA,2001,310.81296
Algeria,DZA,2002,321.9505
Algeria,DZA,2003,336.9221
Algeria,DZA,2004,349.7778
Algeria,DZA,2005,366.2715
Algeria,DZA,2006,379.22003
Algeria,DZA,2007,399.63977
Algeria,DZA,2008,423.55692
Algeria,DZA,2009,448.8593
Algeria,DZA,2010,438.99487
Algeria,DZA,2011,464.48825
Algeria,DZA,2012,507.67184
Algeria,DZA,2013,536.9768
Algeria,DZA,2014,585.6132
Algeria,DZA,2015,617.51807
Algeria,DZA,2016,616.9958
Algeria,DZA,2017,623.7946
Algeria,DZA,2018,669.61975
Algeria,DZA,2019,694.3489
Algeria,DZA,2020,648.8988
Algeria,DZA,2021,703.0685
Algeria,DZA,2022,684.86975
American Samoa,ASM,1980,1.7271007
American Samoa,ASM,1981,2.0299501
American Samoa,ASM,1982,2.8296273
American Samoa,ASM,1983,1.7838956
American Samoa,ASM,1984,2.0355117
American Samoa,ASM,1985,1.9069229
American Samoa,ASM,1986,1.9684365
American Samoa,ASM,1987,2.0435872
American Samoa,ASM,1988,1.9866744
American Samoa,ASM,1989,2.2877688
American Samoa,ASM,1990,2.4062712
American Samoa,ASM,1991,2.4062712
American Samoa,ASM,1992,2.4751372
American Samoa,ASM,1993,2.4079294
American Samoa,ASM,1994,2.3456187
American Samoa,ASM,1995,2.2833083
American Samoa,ASM,1996,2.289356
American Samoa,ASM,1997,2.3456187
American Samoa,ASM,1998,2.3456187
American Samoa,ASM,1999,2.3456218
American Samoa,ASM,2000,2.296828
American Samoa,ASM,2001,2.296828
American Samoa,ASM,2002,2.3349886
American Samoa,ASM,2003,2.3349886
American Samoa,ASM,2004,2.3349886
American Samoa,ASM,2005,2.4804015
American Samoa,ASM,2006,2.5224495
American Samoa,ASM,2007,2.5224495
American Samoa,ASM,2008,2.5293603
American Samoa,ASM,2009,2.5224495
American Samoa,ASM,2010,2.5224495
American Samoa,ASM,2011,1.4394212
American Samoa,ASM,2012,1.445875
American Samoa,ASM,2013,1.4450136
American Samoa,ASM,2014,1.4449954
American Samoa,ASM,2015,1.444883
American Samoa,ASM,2016,1.4514818
American Samoa,ASM,2017,1.4529216
American Samoa,ASM,2018,1.4527618
American Samoa,ASM,2019,1.4524702
American Samoa,ASM,2020,1.3840231
American Samoa,ASM,2021,1.5961853
Angola,AGO,1980,17.10543
Angola,AGO,1981,16.958174
Angola,AGO,1982,18.172722
Angola,AGO,1983,19.429735
Angola,AGO,1984,17.553404
Angola,AGO,1985,21.618885
Angola,AGO,1986,21.351183
Angola,AGO,1987,22.020035
Angola,AGO,1988,22.711615
Angola,AGO,1989,21.975481
Angola,AGO,1990,23.330988
Angola,AGO,1991,24.454176
Angola,AGO,1992,24.813814
Angola,AGO,1993,24.360994
Angola,AGO,1994,23.768608
Angola,AGO,1995,25.495579
Angola,AGO,1996,24.504175
Angola,AGO,1997,27.524199
Angola,AGO,1998,24.772617
Angola,AGO,1999,27.6509
Angola,AGO,2000,32.44806
Angola,AGO,2001,35.23395
Angola,AGO,2002,37.546337
Angola,AGO,2003,41.6661
Angola,AGO,2004,46.076923
Angola,AGO,2005,39.229706
Angola,AGO,2006,49.463192
Angola,AGO,2007,56.854713
Angola,AGO,2008,66.63688
Angola,AGO,2009,75.82465
Angola,AGO,2010,83.17874
Angola,AGO,2011,87.199165
Angola,AGO,2012,91.0689
Angola,AGO,2013,101.91877
Angola,AGO,2014,112.17697
Angola,AGO,2015,116.99946
Angola,AGO,2016,106.75158
Angola,AGO,2017,101.83017
Angola,AGO,2018,105.27903
Angola,AGO,2019,118.654335
Angola,AGO,2020,117.90763
Angola,AGO,2021,96.311485
Antarctica,ATA,1980,0.6248129
Antarctica,ATA,1981,0.62310576
Antarctica,ATA,1982,0.62310576
Antarctica,ATA,1983,0.62310576
Antarctica,ATA,1984,0.81225675
Antarctica,ATA,1985,0.87234807
Antarctica,ATA,1986,0.81003743
Antarctica,ATA,1987,0.81003743
Antarctica,ATA,1988,0.87473804
Antarctica,ATA,1989,0.81003743
Antarctica,ATA,1990,0.87234807
Antarctica,ATA,1991,0.87234807
Antarctica,ATA,1992,0.87473804
Antarctica,ATA,1993,0.87234807
Antarctica,ATA,1994,0.87234807
Antarctica,ATA,1995,0.93465865
Antarctica,ATA,1996,0.9372193
Antarctica,ATA,1997,0.93465865
Antarctica,ATA,1998,0.93465865
Antarctica,ATA,1999,0.93465865
Antarctica,ATA,2000,0.92967373
Antarctica,ATA,2001,0.9551443
Antarctica,ATA,2002,0.9551443
Antarctica,ATA,2003,0.9551443
Antarctica,ATA,2004,0.96787953
Antarctica,ATA,2005,0.9737404
Antarctica,ATA,2006,0.9736935
Antarctica,ATA,2007,0.98640823
Antarctica,ATA,2008,0.049270246
Antarctica,ATA,2009,0.06739434
Antarctica,ATA,2010,0.067389645
Antarctica,ATA,2011,0.06734276
Antarctica,ATA,2012,0.057500236
Antarctica,ATA,2013,0.05735094
Antarctica,ATA,2014,0.057346396
Antarctica,ATA,2015,0.058241855
Antarctica,ATA,2016,0.058168042
Antarctica,ATA,2017,0.054660268
Antarctica,ATA,2018,0.054660268
Antarctica,ATA,2019,0.054660305
Antarctica,ATA,2020,0.046015892
Antarctica,ATA,2021,0.048968244
Antigua and Barbuda,ATG,1980,1.7012353
Antigua and Barbuda,ATG,1981,1.5148098
Antigua and Barbuda,ATG,1982,2.0601413
Antigua and Barbuda,ATG,1983,1.2118479
Antigua and Barbuda,ATG,1984,1.3366848
Antigua and Barbuda,ATG,1985,1.3330326
Antigua and Barbuda,ATG,1986,1.3552762
Antigua and Barbuda,ATG,1987,1.686893
Antigua and Barbuda,ATG,1988,1.6914043
Antigua and Barbuda,ATG,1989,1.686893
Antigua and Barbuda,ATG,1990,1.7492034
Antigua and Barbuda,ATG,1991,1.7430848
Antigua and Barbuda,ATG,1992,1.7477502
Antigua and Barbuda,ATG,1993,1.7430848
Antigua and Barbuda,ATG,1994,1.8660479
Antigua and Barbuda,ATG,1995,1.9894924
Antigua and Barbuda,ATG,1996,1.9948328
Antigua and Barbuda,ATG,1997,2.050145
Antigua and Barbuda,ATG,1998,2.050145
Antigua and Barbuda,ATG,1999,2.0501504
Antigua and Barbuda,ATG,2000,2.1362836
Antigua and Barbuda,ATG,2001,2.1362836
Antigua and Barbuda,ATG,2002,2.2902532
Antigua and Barbuda,ATG,2003,2.40722
Antigua and Barbuda,ATG,2004,2.4967196
Antigua and Barbuda,ATG,2005,2.5349038
Antigua and Barbuda,ATG,2006,2.6126008
Antigua and Barbuda,ATG,2007,2.7379868
Antigua and Barbuda,ATG,2008,2.8008583
Antigua and Barbuda,ATG,2009,2.9345222
Antigua and Barbuda,ATG,2010,2.8373902
Antigua and Barbuda,ATG,2011,2.8294127
Antigua and Barbuda,ATG,2012,2.9076788
Antigua and Barbuda,ATG,2013,2.9079623
Antigua and Barbuda,ATG,2014,2.9732518
Antigua and Barbuda,ATG,2015,3.0433478
Antigua and Barbuda,ATG,2016,3.0876482
Antigua and Barbuda,ATG,2017,2.9374938
Antigua and Barbuda,ATG,2018,3.0266554
Antigua and Barbuda,ATG,2019,3.0427258
Antigua and Barbuda,ATG,2020,2.5749125
Antigua and Barbuda,ATG,2021,2.7469301
Argentina,ARG,1965,328.52762
Argentina,ARG,1966,339.17477
Argentina,ARG,1967,349.03223
Argentina,ARG,1968,360.84442
Argentina,ARG,1969,372.91064
Argentina,ARG,1970,353.48654
Argentina,ARG,1971,374.74167
Argentina,ARG,1972,379.44794
Argentina,ARG,1973,396.45773
Argentina,ARG,1974,412.27786
Argentina,ARG,1975,402.5712
Argentina,ARG,1976,422.71396
Argentina,ARG,1977,441.45834
Argentina,ARG,1978,442.127
Argentina,ARG,1979,474.65594
Argentina,ARG,1980,472.0192
Argentina,ARG,1981,457.9635
Argentina,ARG,1982,466.51276
Argentina,ARG,1983,485.7636
Argentina,ARG,1984,487.34406
Argentina,ARG,1985,481.61896
Argentina,ARG,1986,508.8846
Argentina,ARG,1987,531.83716
Argentina,ARG,1988,540.7379
Argentina,ARG,1989,521.4408
Argentina,ARG,1990,513.02167
Argentina,ARG,1991,521.34717
Argentina,ARG,1992,559.3094
Argentina,ARG,1993,577.8426
Argentina,ARG,1994,608.76117
Argentina,ARG,1995,628.23645
Argentina,ARG,1996,657.1285
Argentina,ARG,1997,664.7551
Argentina,ARG,1998,688.4251
Argentina,ARG,1999,696.0661
Argentina,ARG,2000,698.77704
Argentina,ARG,2001,682.52423
Argentina,ARG,2002,654.4735
Argentina,ARG,2003,701.5056
Argentina,ARG,2004,744.8173
Argentina,ARG,2005,790.5074
Argentina,ARG,2006,830.5426
Argentina,ARG,2007,865.64545
Argentina,ARG,2008,877.17804
Argentina,ARG,2009,852.5108
Argentina,ARG,2010,883.96924
Argentina,ARG,2011,909.091
Argentina,ARG,2012,943.7065
Argentina,ARG,2013,981.39813
Argentina,ARG,2014,979.85767
Argentina,ARG,2015,996.94006
Argentina,ARG,2016,992.4242
Argentina,ARG,2017,991.3971
Argentina,ARG,2018,984.3456
Argentina,ARG,2019,927.35834
Argentina,ARG,2020,869.8289
Argentina,ARG,2021,965.67175
Argentina,ARG,2022,1000.97327
Armenia,ARM,1992,57.7568
Armenia,ARM,1993,43.95694
Armenia,ARM,1994,39.296124
Armenia,ARM,1995,38.54506
Armenia,ARM,1996,49.341423
Armenia,ARM,1997,41.582306
Armenia,ARM,1998,44.19059
Armenia,ARM,1999,27.311895
Armenia,ARM,2000,29.373667
Armenia,ARM,2001,28.887114
Armenia,ARM,2002,27.6709
Armenia,ARM,2003,30.428022
Armenia,ARM,2004,31.5594
Armenia,ARM,2005,36.559025
Armenia,ARM,2006,36.503197
Armenia,ARM,2007,40.961624
Armenia,ARM,2008,39.53123
Armenia,ARM,2009,35.32081
Armenia,ARM,2010,39.337505
Armenia,ARM,2011,41.41521
Armenia,ARM,2012,43.885105
Armenia,ARM,2013,43.05361
Armenia,ARM,2014,43.884068
Armenia,ARM,2015,40.660046
Armenia,ARM,2016,40.950134
Armenia,ARM,2017,43.64147
Armenia,ARM,2018,42.928493
Armenia,ARM,2019,45.634823
Armenia,ARM,2020,47.936787
Armenia,ARM,2021,49.357056
Aruba,ABW,1986,0.42608666
Aruba,ABW,1987,0.42608666
Aruba,ABW,1988,1.6324507
Aruba,ABW,1989,2.1700447
Aruba,ABW,1990,2.2920136
Aruba,ABW,1991,2.5002792
Aruba,ABW,1992,2.746373
Aruba,ABW,1993,2.7903798
Aruba,ABW,1994,3.0615923
Aruba,ABW,1995,3.4651084
Aruba,ABW,1996,2.2837791
Aruba,ABW,1997,3.6933842
Aruba,ABW,1998,3.6933842
Aruba,ABW,1999,3.6933894
Aruba,ABW,2000,4.41737
Aruba,ABW,2001,4.5707107
Aruba,ABW,2002,4.7247806
Aruba,ABW,2003,5.2614985
Aruba,ABW,2004,5.486875
Aruba,ABW,2005,5.925302
Aruba,ABW,2006,5.9140134
Aruba,ABW,2007,6.0942554
Aruba,ABW,2008,5.7248945
Aruba,ABW,2009,5.707535
Aruba,ABW,2010,5.3578606
Aruba,ABW,2011,4.262488
Aruba,ABW,2012,5.340377
Aruba,ABW,2013,5.1717796
Aruba,ABW,2014,5.2454996
Aruba,ABW,2015,5.3989043
Aruba,ABW,2016,5.2463517
Aruba,ABW,2017,5.4319153
Aruba,ABW,2018,5.2476115
Aruba,ABW,2019,5.440839
Aruba,ABW,2020,4.6366434
Aruba,ABW,2021,4.9106016
Asia,,1965,5355.047
Asia,,1966,5811.665
Asia,,1967,6086.7944
Asia,,1968,6569.1514
Asia,,1969,7466.7954
Asia,,1970,8459.435
Asia,,1971,9286.55
Asia,,1972,9868.543
Asia,,1973,10691.682
Asia,,1974,10938.935
Asia,,1975,11338.627
Asia,,1976,11994.09
Asia,,1977,12795.453
Asia,,1978,13695.708
Asia,,1979,14466.982
Asia,,1980,14498.468
Asia,,1981,14716.033
Asia,,1982,15048.07
Asia,,1983,15865.758
Asia,,1984,17126.078
Asia,,1985,20033.107
Asia,,1986,20871.785
Asia,,1987,22060.473
Asia,,1988,23599.613
Asia,,1989,24726.389
Asia,,1990,25700.133
Asia,,1991,26708.193
Asia,,1992,27897.29
Asia,,1993,29073.875
Asia,,1994,30571.064
Asia,,1995,31919.305
Asia,,1996,33319.887
Asia,,1997,34290.688
Asia,,1998,34344.344
Asia,,1999,35457.85
Asia,,2000,36846.555
Asia,,2001,38110.46
Asia,,2002,40002.55
Asia,,2003,43130.88
Asia,,2004,47274.42
Asia,,2005,50841.207
Asia,,2006,53767.89
Asia,,2007,57044.812
Asia,,2008,58922.15
Asia,,2009,60178.285
Asia,,2010,64104.895
Asia,,2011,67407.11
Asia,,2012,69783.62
Asia,,2013,71595.03
Asia,,2014,73585.25
Asia,,2015,75010.68
Asia,,2016,76417.734
Asia,,2017,79011.68
Asia,,2018,81914.2
Asia,,2019,84290.3
Asia,,2020,83770.875
Asia,,2021,88293.65
Asia,,2022,90365.44
Asia & Oceania (EIA),,1980,14952.715
Asia & Oceania (EIA),,1981,15162.4
Asia & Oceania (EIA),,1982,15490.612
Asia & Oceania (EIA),,1983,16016.73
Asia & Oceania (EIA),,1984,17151.87
Asia & Oceania (EIA),,1985,17752.514
Asia & Oceania (EIA),,1986,18344.018
Asia & Oceania (EIA),,1987,19261.615
Asia & Oceania (EIA),,1988,20662.348
Asia & Oceania (EIA),,1989,21300.135
Asia & Oceania (EIA),,1990,22128.994
Asia & Oceania (EIA),,1991,22788.723
Asia & Oceania (EIA),,1992,23655.467
Asia & Oceania (EIA),,1993,24982.29
Asia & Oceania (EIA),,1994,26569.506
Asia & Oceania (EIA),,1995,28237.31
Asia & Oceania (EIA),,1996,29594.86
Asia & Oceania (EIA),,1997,29699.178
Asia & Oceania (EIA),,1998,29813.412
Asia & Oceania (EIA),,1999,31204.7
Asia & Oceania (EIA),,2000,32664.982
Asia & Oceania (EIA),,2001,33457.88
Asia & Oceania (EIA),,2002,34880.664
Asia & Oceania (EIA),,2003,37637.273
Asia & Oceania (EIA),,2004,41926.305
Asia & Oceania (EIA),,2005,44979.32
Asia & Oceania (EIA),,2006,48119.082
Asia & Oceania (EIA),,2007,50878.465
Asia & Oceania (EIA),,2008,52305.016
Asia & Oceania (EIA),,2009,54978.26
Asia & Oceania (EIA),,2010,59934.9
Asia & Oceania (EIA),,2011,63323.15
Asia & Oceania (EIA),,2012,66420.08
Asia & Oceania (EIA),,2013,68156.16
Asia & Oceania (EIA),,2014,69429.03
Asia & Oceania (EIA),,2015,69695.05
Asia & Oceania (EIA),,2016,70902.766
Asia & Oceania (EIA),,2017,72962.09
Asia & Oceania (EIA),,2018,75480.516
Asia & Oceania (EIA),,2019,76831.305
Asia & Oceania (EIA),,2020,76292.98
Asia & Oceania (EIA),,2021,80372.68
Asia Pacific (EI),,1965,5235.806
Asia Pacific (EI),,1966,5683.134
Asia Pacific (EI),,1967,5950.452
Asia Pacific (EI),,1968,6412.57
Asia Pacific (EI),,1969,7284.0513
Asia Pacific (EI),,1970,8282.044
Asia Pacific (EI),,1971,9073.601
Asia Pacific (EI),,1972,9612.916
Asia Pacific (EI),,1973,10376.129
Asia Pacific (EI),,1974,10605.488
Asia Pacific (EI),,1975,11001.126
Asia Pacific (EI),,1976,11535.02
Asia Pacific (EI),,1977,12202.239
Asia Pacific (EI),,1978,13036.697
Asia Pacific (EI),,1979,13637.195
Asia Pacific (EI),,1980,13713.645
Asia Pacific (EI),,1981,13814.593
Asia Pacific (EI),,1982,13951.811
Asia Pacific (EI),,1983,14561.178
Asia Pacific (EI),,1984,15593.267
Asia Pacific (EI),,1985,16350.017
Asia Pacific (EI),,1986,17024.998
Asia Pacific (EI),,1987,17983.324
Asia Pacific (EI),,1988,19294.79
Asia Pacific (EI),,1989,20343.887
Asia Pacific (EI),,1990,21162.268
Asia Pacific (EI),,1991,22130.822
Asia Pacific (EI),,1992,23139.834
Asia Pacific (EI),,1993,24373.004
Asia Pacific (EI),,1994,25691.213
Asia Pacific (EI),,1995,27032.67
Asia Pacific (EI),,1996,28309.064
Asia Pacific (EI),,1997,29183.256
Asia Pacific (EI),,1998,29127.225
Asia Pacific (EI),,1999,30203.627
Asia Pacific (EI),,2000,31365.73
Asia Pacific (EI),,2001,32395.283
Asia Pacific (EI),,2002,33965.86
Asia Pacific (EI),,2003,36781.125
Asia Pacific (EI),,2004,40400.293
Asia Pacific (EI),,2005,43540.188
Asia Pacific (EI),,2006,46085.39
Asia Pacific (EI),,2007,48942.137
Asia Pacific (EI),,2008,50343.05
Asia Pacific (EI),,2009,51443.64
Asia Pacific (EI),,2010,54725.09
Asia Pacific (EI),,2011,57492.05
Asia Pacific (EI),,2012,59367.41
Asia Pacific (EI),,2013,60986.348
Asia Pacific (EI),,2014,62547.7
Asia Pacific (EI),,2015,63657.137
Asia Pacific (EI),,2016,64593.582
Asia Pacific (EI),,2017,66854.14
Asia Pacific (EI),,2018,69671.41
Asia Pacific (EI),,2019,71938.836
Asia Pacific (EI),,2020,71604.984
Asia Pacific (EI),,2021,75509.74
Asia Pacific (EI),,2022,77109.75
Australia,AUS,1965,425.76
Australia,AUS,1966,446.1015
Australia,AUS,1967,473.09302
Australia,AUS,1968,501.69373
Australia,AUS,1969,522.4282
Australia,AUS,1970,570.10156
Australia,AUS,1971,598.80756
Australia,AUS,1972,626.095
Australia,AUS,1973,669.3559
Australia,AUS,1974,711.90106
Australia,AUS,1975,723.9002
Australia,AUS,1976,749.0882
Australia,AUS,1977,785.9685
Australia,AUS,1978,811.2208
Australia,AUS,1979,841.2914
Australia,AUS,1980,844.24695
Australia,AUS,1981,857.7939
Australia,AUS,1982,849.91943
Australia,AUS,1983,820.93915
Australia,AUS,1984,852.42
Australia,AUS,1985,877.5699
Australia,AUS,1986,894.90497
Australia,AUS,1987,921.1818
Australia,AUS,1988,963.4506
Australia,AUS,1989,1012.0838
Australia,AUS,1990,1033.0594
Australia,AUS,1991,1025.3058
Australia,AUS,1992,1042.1882
Australia,AUS,1993,1064.0782
Australia,AUS,1994,1105.4661
Australia,AUS,1995,1154.2988
Australia,AUS,1996,1188.1368
Australia,AUS,1997,1217.288
Australia,AUS,1998,1246.3306
Australia,AUS,1999,1297.3474
Australia,AUS,2000,1305.2594
Australia,AUS,2001,1315.3853
Australia,AUS,2002,1341.745
Australia,AUS,2003,1360.8622
Australia,AUS,2004,1404.4441
Australia,AUS,2005,1410.3502
Australia,AUS,2006,1470.8378
Australia,AUS,2007,1506.167
Australia,AUS,2008,1531.7455
Australia,AUS,2009,1509.5446
